question,answer
What is on the menu,We have Biryani Karahi Nihari Burgers Pasta and Grilled items
What food do you serve,Our menu includes Biryani Karahi Nihari burgers pasta grilled chicken and desserts
Do you have vegetarian food,Yes we have vegetable pasta daal makhni and fresh salads
What are your prices,Biryani is 350 rupees Karahi is 500 rupees Burgers start from 200 rupees
How much does biryani cost,Biryani is 350 rupees for a full plate
How much is karahi,Karahi price is 500 rupees and it serves two people
What time do you open,We open at 12pm and close at midnight every day
What are your opening hours,We are open from 12 noon to 12 midnight daily
Are you open on weekends,Yes we are open 7 days a week including weekends
Where are you located,We are at Plot 12 Main Boulevard Gulberg Lahore near the petrol pump
What is your address,Our address is Plot 12 Main Boulevard Gulberg Lahore
How do I get to the restaurant,We are on Main Boulevard Gulberg Lahore near the petrol pump
Do you do home delivery,Yes we deliver to your home call us at 042-35761234
Can I order online,Yes order by phone at 042-35761234 or through foodpanda
How long does delivery take,Delivery takes around 45 minutes depending on your location
How do I reserve a table,Call us at 042-35761234 to book a table
Can I book a table for the weekend,Yes call one day before for weekend reservations
How many people can you seat,We can seat up to 80 people at a time
Is there parking available,Yes free parking is available in front and behind the restaurant
Do you have wifi,Yes we have free wifi password is SpiceGarden2024
What is the wifi password,The wifi password is SpiceGarden2024
Is there any special deal today,Yes today Mutton Karahi plus Naan plus drink is 700 rupees
Do you have a family deal,Every Tuesday we have family deal for 1500 rupees
Can you arrange a birthday party,Yes we arrange birthday events call us for details
Do you have a kids menu,Yes we have special kids portions available at lower prices
What desserts do you have,We have gulab jamun kheer and ice cream
Do you serve drinks,Yes we serve fresh juices cold drinks and milkshakes
Is the food halal,Yes all our food is 100 percent halal
Do you accept cards,Yes we accept credit and debit cards as well as cash
What is your phone number,Our number is 042-35761234
